date,symbol,volume.x,close.x,adjusted.x,symbol2,ratio.x,volume.y,close.y,adjusted.y,ccl
2020-08-14,BMA.BA,363406,259.649994,259.649994,BMA,10,361600,20.24,20.24,128.28557015810276
2020-08-18,BMA.BA,354348,245.149994,245.149994,BMA,10,376800,18.9,18.9,129.70899153439152
2020-08-19,BMA.BA,385303,247.899994,247.899994,BMA,10,349900,18.629999,18.629999,133.0649529288756
2020-08-20,BMA.BA,196784,248.899994,248.899994,BMA,10,297100,18.440001,18.440001,134.97829745237
2020-08-21,BMA.BA,570592,245.5,245.5,BMA,10,314600,18.219999,18.219999,134.74204910768654
2020-08-24,BMA.BA,315877,243.75,243.75,BMA,10,712200,18.360001,18.360001,132.761430677482
2020-08-25,BMA.BA,323238,246.949997,246.949997,BMA,10,528200,18.58,18.58,132.91173143164693
2020-08-26,BMA.BA,543888,236.899994,236.899994,BMA,10,265200,18.33,18.33,129.24167703218765
2020-08-27,BMA.BA,752215,221.800003,221.800003,BMA,10,316100,17.879999,17.879999,124.04922561796563
2020-08-28,BMA.BA,362142,238.949997,238.949997,BMA,10,390200,19.190001,19.190001,124.51797006159615
2020-08-31,BMA.BA,393521,242.449997,242.449997,BMA,10,450900,18.950001,18.950001,127.94194417192905
2020-09-01,BMA.BA,555949,241.5,241.5,BMA,10,379800,18.809999,18.809999,128.38916153052426
2020-09-02,BMA.BA,350632,234.850006,234.850006,BMA,10,412100,18.860001,18.860001,124.52279615467678
2020-09-03,BMA.BA,265508,238.300003,238.300003,BMA,10,451100,19.370001,19.370001,123.02529204825547
2020-09-04,BMA.BA,265201,235.75,235.75,BMA,10,295400,18.93,18.93,124.53777073428421
2020-09-07,BMA.BA,74219,240.550003,240.550003,BMA,10,NA,NA,NA,NA
2020-09-08,BMA.BA,397874,235.649994,235.649994,BMA,10,256900,18.870001,18.870001,124.88075331845504
2020-09-09,BMA.BA,185916,238.300003,238.300003,BMA,10,268000,18.74,18.74,127.16115421558166
2020-09-10,BMA.BA,756149,243.5,243.5,BMA,10,291200,18.73,18.73,130.00533902829685
2020-09-11,BMA.BA,318943,233.350006,233.350006,BMA,10,226100,18,18,129.63889222222224
2020-09-14,BMA.BA,357591,226.149994,226.149994,BMA,10,372500,17.450001,17.450001,129.5988430029316
2020-09-15,BMA.BA,223975,224.75,224.75,BMA,10,295500,17.26,17.26,130.2143684820394
2020-09-16,BMA.BA,912154,205.949997,205.949997,BMA,10,610200,16.139999,16.139999,127.60223653049792
2020-09-17,BMA.BA,995661,199.350006,199.350006,BMA,10,462800,15.38,15.38,129.61638881664499
2020-09-18,BMA.BA,443278,209.800003,209.800003,BMA,10,461000,15.32,15.32,136.94517167101827
2020-09-21,BMA.BA,395856,205.100006,205.100006,BMA,10,381700,14.72,14.72,139.33424320652176
2020-09-22,BMA.BA,411319,205.300003,205.300003,BMA,10,279700,14.1,14.1,145.6028390070922
2020-09-23,BMA.BA,281413,201.199997,201.199997,BMA,10,466100,13.36,13.36,150.5988001497006
2020-09-24,BMA.BA,787346,208.149994,208.149994,BMA,10,682300,14.64,14.64,142.1789576502732
2020-09-25,BMA.BA,179510,211.75,211.75,BMA,10,332400,14.52,14.52,145.83333333333334
2020-09-28,BMA.BA,191730,210.149994,210.149994,BMA,10,280000,14.33,14.33,146.65037962316816
2020-09-29,BMA.BA,235909,209.949997,209.949997,BMA,10,290900,14.1,14.1,148.9007070921986
2020-09-30,BMA.BA,420158,207.600006,207.600006,BMA,10,331900,14.3,14.3,145.1748293706294
2020-10-01,BMA.BA,176706,214.850006,214.850006,BMA,10,272700,14.62,14.62,146.9562284541724
2020-10-02,BMA.BA,188389,214.149994,214.149994,BMA,10,271100,14.25,14.25,150.28069754385962
2020-10-05,BMA.BA,262473,211.649994,211.649994,BMA,10,211800,14.05,14.05,150.64056512455514
2020-10-06,BMA.BA,373900,208.800003,208.800003,BMA,10,340700,13.74,13.74,151.96506768558953
2020-10-07,BMA.BA,210170,210.850006,210.850006,BMA,10,232300,13.88,13.88,151.90922622478388
2020-10-08,BMA.BA,234986,216.949997,216.949997,BMA,10,282400,14.27,14.27,152.03223335669236
2020-10-09,BMA.BA,173800,218,218,BMA,10,198500,14.1,14.1,154.60992907801418
2020-10-13,BMA.BA,213610,213.850006,213.850006,BMA,10,290400,13.41,13.41,159.47054884414618
2020-10-14,BMA.BA,244103,215.100006,215.100006,BMA,10,443700,13.26,13.26,162.21719909502264
2020-10-15,BMA.BA,678008,222.25,222.25,BMA,10,330700,13.24,13.24,167.86253776435046
2020-10-16,BMA.BA,468188,230,230,BMA,10,353100,13.54,13.54,169.86706056129987
2020-10-19,BMA.BA,470289,231.449997,231.449997,BMA,10,410800,13.83,13.83,167.35357700650758
2020-10-20,BMA.BA,233753,225.100006,225.100006,BMA,10,436000,13.18,13.18,170.78907890743554
2020-10-21,BMA.BA,669660,226.5,226.5,BMA,10,406400,12.65,12.65,179.05138339920947
2020-10-22,BMA.BA,315748,234.850006,234.850006,BMA,10,344000,12.9,12.9,182.05426821705427
2020-10-23,BMA.BA,392082,232.5,232.5,BMA,10,209700,13.05,13.05,178.16091954022988
2020-10-26,BMA.BA,380346,216.649994,216.649994,BMA,10,194600,12.95,12.95,167.29729266409265
2020-10-27,BMA.BA,189078,204.850006,204.850006,BMA,10,280100,12.22,12.22,167.63502945990183
2020-10-28,BMA.BA,507010,186.149994,186.149994,BMA,10,375900,11.74,11.74,158.56047189097103
2020-10-29,BMA.BA,283431,192.199997,192.199997,BMA,10,389400,12.04,12.04,159.63454900332226
2020-10-30,BMA.BA,324765,186.100006,186.100006,BMA,10,232800,11.93,11.93,155.99329924559933
2020-11-02,BMA.BA,388248,204,204,BMA,10,388600,13.14,13.14,155.2511415525114
2020-11-03,BMA.BA,458214,205.050003,205.050003,BMA,10,411800,13.18,13.18,155.5766335356601
2020-11-04,BMA.BA,339934,199.350006,199.350006,BMA,10,244600,12.84,12.84,155.2570140186916
2020-11-05,BMA.BA,432612,211.899994,211.899994,BMA,10,390700,14,14,151.35713857142855
2020-11-06,BMA.BA,234584,214.050003,214.050003,BMA,10,256200,14.03,14.03,152.5659322879544
2020-11-09,BMA.BA,560548,228.149994,228.149994,BMA,10,558200,15.02,15.02,151.89746604527295
2020-11-10,BMA.BA,657329,245.350006,245.350006,BMA,10,700200,16.370001,16.370001,149.87781979976668
2020-11-11,BMA.BA,387141,237.100006,237.100006,BMA,10,345800,15.69,15.69,151.11536392606757
2020-11-12,BMA.BA,474108,224.399994,224.399994,BMA,10,429700,14.64,14.64,153.2786844262295
2020-11-13,BMA.BA,303346,227.199997,227.199997,BMA,10,295100,15.28,15.28,148.691097513089
2020-11-16,BMA.BA,277050,227.350006,227.350006,BMA,10,203400,15.34,15.34,148.2073050847458
2020-11-17,BMA.BA,223520,233.800003,233.800003,BMA,10,369800,15.72,15.72,148.7277372773537
2020-11-18,BMA.BA,219702,226.350006,226.350006,BMA,10,277400,15.02,15.02,150.69907190412786
2020-11-19,BMA.BA,240783,228.300003,228.300003,BMA,10,361300,15.11,15.11,151.0919940436797
2020-11-20,BMA.BA,144453,235,235,BMA,10,550700,14.95,14.95,157.19063545150502
2020-11-24,BMA.BA,871007,252.300003,252.300003,BMA,10,734200,16.49,16.49,153.00182110369923
2020-11-25,BMA.BA,1398149,253.050003,253.050003,BMA,10,425100,16.469999,16.469999,153.64299839969632
2020-11-26,BMA.BA,177181,254.199997,254.199997,BMA,10,NA,NA,NA,NA
2020-11-27,BMA.BA,297532,258.899994,258.899994,BMA,10,263900,16.959999,16.959999,152.6533073498412
2020-11-30,BMA.BA,1027575,247.25,247.25,BMA,10,364900,15.97,15.97,154.82154038822793
2020-12-01,BMA.BA,239963,245.600006,245.600006,BMA,10,345300,16.299999,16.299999,150.6748595506049
2020-12-02,BMA.BA,357676,248.600006,248.600006,BMA,10,539700,16.92,16.92,146.92671749408984
2020-12-03,BMA.BA,287959,244.25,244.25,BMA,10,478800,16.690001,16.690001,146.34510806799832
2020-12-04,BMA.BA,108036,243.699997,243.699997,BMA,10,265500,16.85,16.85,144.6290783382789
2020-12-09,BMA.BA,322138,232.100006,232.100006,BMA,10,326500,16.200001,16.200001,143.2715997980494
2020-12-10,BMA.BA,422219,236.149994,236.149994,BMA,10,329000,16.98,16.98,139.07537926972907
2020-12-11,BMA.BA,116221,235.800003,235.800003,BMA,10,160600,16.459999,16.459999,143.25638962675515
2020-12-14,BMA.BA,199800,231.600006,231.600006,BMA,10,191300,16.15,16.15,143.40557647058827
2020-12-15,BMA.BA,138709,233.899994,233.899994,BMA,10,301900,16.620001,16.620001,140.73404327713337
2020-12-16,BMA.BA,208277,235.100006,235.100006,BMA,10,190700,16.51,16.51,142.39854996971533
2020-12-17,BMA.BA,343903,233.949997,233.949997,BMA,10,184800,16.33,16.33,143.2639295774648
2020-12-18,BMA.BA,309458,227.75,227.75,BMA,10,283500,15.93,15.93,142.96924042686754
2020-12-21,BMA.BA,252162,216.449997,216.449997,BMA,10,272100,15.45,15.45,140.0970854368932
2020-12-22,BMA.BA,202920,220.25,220.25,BMA,10,271100,15.31,15.31,143.86022207707381
2020-12-23,BMA.BA,55487,226.149994,226.149994,BMA,10,191400,15.91,15.91,142.14330232558137
2020-12-28,BMA.BA,208621,223.399994,223.399994,BMA,10,261000,15.5,15.5,144.12902838709675
2020-12-29,BMA.BA,147496,230.25,230.25,BMA,10,294400,16.26,16.26,141.6051660516605
2020-12-30,BMA.BA,179921,227.300003,227.300003,BMA,10,459100,15.84,15.84,143.49747664141415
2021-01-04,BMA.BA,328080,218.600006,218.600006,BMA,10,528100,14.62,14.62,149.52120793433656
2021-01-05,BMA.BA,655318,220.850006,220.850006,BMA,10,377100,14.55,14.55,151.78694570446737
2021-01-06,BMA.BA,281910,218.149994,218.149994,BMA,10,333100,14.78,14.78,147.59810148849795
2021-01-07,BMA.BA,212928,222.449997,222.449997,BMA,10,209700,14.84,14.84,149.89891981132075
2021-01-08,BMA.BA,124929,221.550003,221.550003,BMA,10,173000,14.68,14.68,150.9196205722071
2021-01-11,BMA.BA,460836,214.199997,214.199997,BMA,10,409200,14.16,14.16,151.2711843220339
2021-01-12,BMA.BA,120270,217.449997,217.449997,BMA,10,220100,14.36,14.36,151.42757451253482
2021-01-13,BMA.BA,154547,213.350006,213.350006,BMA,10,193600,14.14,14.14,150.88402121640738
2021-01-14,BMA.BA,154974,217.5,217.5,BMA,10,370000,14.49,14.49,150.10351966873705
2021-01-15,BMA.BA,73216,213.699997,213.699997,BMA,10,182200,14,14,152.642855
2021-01-18,BMA.BA,45776,212.449997,212.449997,BMA,10,NA,NA,NA,NA
2021-01-19,BMA.BA,327684,211.399994,211.399994,BMA,10,246100,13.95,13.95,151.54121433691756
2021-01-20,BMA.BA,270101,212.899994,212.899994,BMA,10,239800,14.27,14.27,149.19410932025227
2021-01-21,BMA.BA,177246,207.25,207.25,BMA,10,309500,13.89,13.89,149.2080633549316
2021-01-22,BMA.BA,168350,204,204,BMA,10,324800,13.36,13.36,152.69461077844312
2021-01-25,BMA.BA,263461,200.25,200.25,BMA,10,174900,13.38,13.38,149.66367713004485
2021-01-26,BMA.BA,170662,213.699997,213.699997,BMA,10,290600,13.9,13.9,153.7410050359712
2021-01-27,BMA.BA,201389,212.800003,212.800003,BMA,10,286600,13.76,13.76,154.65116497093024
2021-01-28,BMA.BA,85863,211,211,BMA,10,157500,13.74,13.74,153.56622998544395
2021-01-29,BMA.BA,92026,203.699997,203.699997,BMA,10,173600,13.32,13.32,152.92792567567565
2021-02-01,BMA.BA,100059,207.600006,207.600006,BMA,10,243200,13.63,13.63,152.31108290535585
2021-02-02,BMA.BA,274977,205.649994,205.649994,BMA,10,294700,13.41,13.41,153.35570022371363
2021-02-03,BMA.BA,115322,207.5,207.5,BMA,10,181700,13.52,13.52,153.47633136094674
2021-02-04,BMA.BA,131898,213.050003,213.050003,BMA,10,190300,13.79,13.79,154.4960137781001
2021-02-05,BMA.BA,171416,221.600006,221.600006,BMA,10,238400,14.3,14.3,154.96503916083918
2021-02-08,BMA.BA,536771,229,229,BMA,10,211100,14.56,14.56,157.28021978021977
2021-02-09,BMA.BA,265551,227.75,227.75,BMA,10,171200,14.71,14.71,154.82664853840924
2021-02-10,BMA.BA,163177,226.649994,226.649994,BMA,10,122100,14.53,14.53,155.98760770818993
2021-02-11,BMA.BA,67545,226.699997,226.699997,BMA,10,150300,14.9,14.9,152.14764899328858
2020-08-14,EDN.BA,188489,25,25,EDN,20,42600,3.95,3.95,126.58227848101265
2020-08-18,EDN.BA,381905,23.85,23.85,EDN,20,123600,3.74,3.74,127.54010695187165
2020-08-19,EDN.BA,190772,24.6,24.6,EDN,20,21100,3.75,3.75,131.2
2020-08-20,EDN.BA,149976,24.5,24.5,EDN,20,29700,3.71,3.71,132.0754716981132
2020-08-21,EDN.BA,244452,24.049999,24.049999,EDN,20,25600,3.71,3.71,129.64959029649594
2020-08-24,EDN.BA,250176,23,23,EDN,20,78700,3.5,3.5,131.42857142857142
2020-08-25,EDN.BA,212711,22.299999,22.299999,EDN,20,30900,3.4,3.4,131.17646470588235
2020-08-26,EDN.BA,116483,22.200001,22.200001,EDN,20,12800,3.45,3.45,128.6956579710145
2020-08-27,EDN.BA,299203,21.549999,21.549999,EDN,20,28900,3.5,3.5,123.14285142857143
2020-08-28,EDN.BA,165244,22.9,22.9,EDN,20,31400,3.65,3.65,125.47945205479452
2020-08-31,EDN.BA,339339,22.549999,22.549999,EDN,20,78100,3.26,3.26,138.34355214723928
2020-09-01,EDN.BA,396493,22.1,22.1,EDN,20,31600,3.44,3.44,128.48837209302326
2020-09-02,EDN.BA,142795,21.85,21.85,EDN,20,32400,3.48,3.48,125.57471264367817
2020-09-03,EDN.BA,84846,21.65,21.65,EDN,20,29500,3.42,3.42,126.60818713450293
2020-09-04,EDN.BA,107455,21.549999,21.549999,EDN,20,7400,3.48,3.48,123.85056896551724
2020-09-07,EDN.BA,134812,22.15,22.15,EDN,20,NA,NA,NA,NA
2020-09-08,EDN.BA,177764,21.5,21.5,EDN,20,14200,3.48,3.48,123.5632183908046
2020-09-09,EDN.BA,152767,21.799999,21.799999,EDN,20,5800,3.49,3.49,124.92836103151862
2020-09-10,EDN.BA,254230,22.299999,22.299999,EDN,20,13100,3.52,3.52,126.70453977272727
2020-09-11,EDN.BA,108089,21.9,21.9,EDN,20,7500,3.45,3.45,126.95652173913042
2020-09-14,EDN.BA,179125,21.25,21.25,EDN,20,7900,3.38,3.38,125.7396449704142
2020-09-15,EDN.BA,139648,21.200001,21.200001,EDN,20,9500,3.43,3.43,123.61516618075801
2020-09-16,EDN.BA,452338,19.85,19.85,EDN,20,59300,3.11,3.11,127.65273311897107
2020-09-17,EDN.BA,312136,18.65,18.65,EDN,20,34000,3.09,3.09,120.71197411003237
2020-09-18,EDN.BA,500109,21,21,EDN,20,36900,3.18,3.18,132.0754716981132
2020-09-21,EDN.BA,154205,20.6,20.6,EDN,20,26000,3.08,3.08,133.76623376623377
2020-09-22,EDN.BA,233149,21.450001,21.450001,EDN,20,15200,2.98,2.98,143.95973825503356
2020-09-23,EDN.BA,241764,22,22,EDN,20,22600,2.93,2.93,150.1706484641638
2020-09-24,EDN.BA,320496,22.450001,22.450001,EDN,20,21700,3.15,3.15,142.5396888888889
2020-09-25,EDN.BA,80964,22.5,22.5,EDN,20,13800,3.14,3.14,143.31210191082803
2020-09-28,EDN.BA,80600,22.25,22.25,EDN,20,5500,3.1,3.1,143.54838709677418
2020-09-29,EDN.BA,359096,21.799999,21.799999,EDN,20,19200,3.09,3.09,141.10031715210357
2020-09-30,EDN.BA,326425,22.75,22.75,EDN,20,13300,3.11,3.11,146.30225080385853
2020-10-01,EDN.BA,160759,23.299999,23.299999,EDN,20,7400,3.17,3.17,147.00314826498422
2020-10-02,EDN.BA,156609,23.35,23.35,EDN,20,16100,3.12,3.12,149.67948717948718
2020-10-05,EDN.BA,210073,23.1,23.1,EDN,20,13500,3.06,3.06,150.98039215686273
2020-10-06,EDN.BA,715275,21.950001,21.950001,EDN,20,14600,2.9,2.9,151.3793172413793
2020-10-07,EDN.BA,392142,21.5,21.5,EDN,20,11900,2.88,2.88,149.30555555555557
2020-10-08,EDN.BA,187578,21.85,21.85,EDN,20,16500,2.92,2.92,149.65753424657535
2020-10-09,EDN.BA,368163,22.299999,22.299999,EDN,20,21400,2.95,2.95,151.18643389830507
2020-10-13,EDN.BA,416276,22.75,22.75,EDN,20,35400,2.99,2.99,152.17391304347825
2020-10-14,EDN.BA,763969,23.85,23.85,EDN,20,57700,3.03,3.03,157.42574257425744
2020-10-15,EDN.BA,606237,24.75,24.75,EDN,20,36100,3.1,3.1,159.67741935483872
2020-10-16,EDN.BA,656759,26.4,26.4,EDN,20,47800,3.19,3.19,165.51724137931035
2020-10-19,EDN.BA,1726005,29.049999,29.049999,EDN,20,157000,3.65,3.65,159.1780767123288
2020-10-20,EDN.BA,946825,29.5,29.5,EDN,20,59400,3.53,3.53,167.1388101983003
2020-10-21,EDN.BA,920938,28.950001,28.950001,EDN,20,35300,3.15,3.15,183.80953015873015
2020-10-22,EDN.BA,505918,29.25,29.25,EDN,20,22800,3.39,3.39,172.56637168141592
2020-10-23,EDN.BA,424173,30.65,30.65,EDN,20,18700,3.48,3.48,176.14942528735634
2020-10-26,EDN.BA,350332,29.450001,29.450001,EDN,20,25700,3.52,3.52,167.32955113636362
2020-10-27,EDN.BA,346777,27.65,27.65,EDN,20,11100,3.45,3.45,160.28985507246375
2020-10-28,EDN.BA,366335,25.700001,25.700001,EDN,20,22900,3.27,3.27,157.18655045871557
2020-10-29,EDN.BA,248061,26.75,26.75,EDN,20,15200,3.34,3.34,160.1796407185629
2020-10-30,EDN.BA,304730,26.450001,26.450001,EDN,20,11400,3.32,3.32,159.33735542168674
2020-11-02,EDN.BA,522588,27,27,EDN,20,26800,3.52,3.52,153.4090909090909
2020-11-03,EDN.BA,419792,27.25,27.25,EDN,20,38200,3.38,3.38,161.24260355029585
