date,symbol,volume.x,close.x,adjusted.x,symbol2,ratio.x,volume.y,close.y,adjusted.y,ccl
2020-03-04,BMA.BA,65140,254.050003,231.676605,BMA,10,226400,31.360001,31.360001,81.01084021011351
2020-03-05,BMA.BA,101426,255,232.542938,BMA,10,213800,30.719999,30.719999,83.00781520207731
2020-03-06,BMA.BA,305385,236.449997,215.626572,BMA,10,456700,28.280001,28.280001,83.61032130090801
2020-03-09,BMA.BA,407641,198.25,180.790726,BMA,10,691300,22.9,22.9,86.57205240174673
2020-03-10,BMA.BA,172016,215.25,196.293594,BMA,10,367300,25.790001,25.790001,83.46257916003958
2020-03-11,BMA.BA,140965,209.449997,191.004379,BMA,10,304000,23.790001,23.790001,88.04118881710008
2020-03-12,BMA.BA,354837,180,164.147949,BMA,10,583900,19.84,19.84,90.7258064516129
2020-03-13,BMA.BA,212408,181.949997,165.926224,BMA,10,292500,21.34,21.34,85.26241658856607
2020-03-16,BMA.BA,252958,160,145.909286,BMA,10,385900,17.370001,17.370001,92.11283292384383
2020-03-17,BMA.BA,175305,168.75,153.888702,BMA,10,422300,19.32,19.32,87.34472049689441
2020-03-18,BMA.BA,265737,140.800003,128.400177,BMA,10,368400,16.219999,16.219999,86.80641903862016
2020-03-19,BMA.BA,172798,136.350006,124.342079,BMA,10,414900,15.16,15.16,89.94063720316623
2020-03-20,BMA.BA,236598,145.649994,132.823044,BMA,10,450500,16.360001,16.360001,89.02810825011562
2020-03-25,BMA.BA,430886,157.850006,143.94863899999999,BMA,10,252600,17.790001,17.790001,88.7296217689926
2020-03-26,BMA.BA,132979,152.850006,139.388977,BMA,10,293700,18.129999,18.129999,84.3077851245331
2020-03-27,BMA.BA,158757,137.649994,125.52758,BMA,10,319000,15.7,15.7,87.67515541401274
2020-03-30,BMA.BA,144912,139.649994,127.351448,BMA,10,341500,16.16,16.16,86.4170754950495
2020-04-01,BMA.BA,84950,144.399994,131.683136,BMA,10,212100,16.469999,16.469999,87.67456148600859
2020-04-02,BMA.BA,119062,150.899994,137.610687,BMA,10,267000,17.02,17.02,88.66039600470035
2020-04-03,BMA.BA,123567,155,141.349625,BMA,10,278800,17.48,17.48,88.67276887871853
2020-04-06,BMA.BA,116113,152.699997,139.252182,BMA,10,396000,16.74,16.74,91.21863620071684
2020-04-07,BMA.BA,274200,147.5,134.510132,BMA,10,636300,16.34,16.34,90.26927784577724
2020-04-08,BMA.BA,265139,153.25,139.753738,BMA,10,735000,16.120001,16.120001,95.0682323158665
2020-04-13,BMA.BA,166354,163,148.645096,BMA,10,335500,16.01,16.01,101.81136789506557
2020-04-14,BMA.BA,500078,176.449997,160.910583,BMA,10,333500,16.459999,16.459999,107.19927565001674
2020-04-15,BMA.BA,284093,191.649994,174.771973,BMA,10,471700,17.35,17.35,110.46109164265128
2020-04-16,BMA.BA,546726,177.699997,162.050507,BMA,10,408400,17.299999,17.299999,102.71676720906169
2020-04-17,BMA.BA,385092,169.550003,154.618256,BMA,10,745500,16.389999,16.389999,103.44723205901356
2020-04-20,BMA.BA,157492,177.699997,162.050507,BMA,10,395300,16.68,16.68,106.53477038369304
2020-04-21,BMA.BA,188791,170.850006,155.803772,BMA,10,475700,15.59,15.59,109.58948428479795
2020-04-22,BMA.BA,165077,170.600006,155.57579,BMA,10,448900,15.23,15.23,112.01576231122785
2020-04-23,BMA.BA,199310,173.149994,157.901199,BMA,10,783200,15.19,15.19,113.98946280447663
