date,symbol,volume.x,close.x,adjusted.x,symbol2,ratio.x,volume.y,close.y,adjusted.y,ccl
2020-04-30,BMA.BA,188235,185.050003,168.75322,BMA,10,430800,16.309999,16.309999,113.45801002195034
2020-05-04,BMA.BA,492732,185.100006,168.798813,BMA,10,509500,16.1,16.1,114.96894782608695
2020-05-05,BMA.BA,390375,190.050003,173.312881,BMA,10,540300,15.83,15.83,120.05685596967784
2020-05-06,BMA.BA,577014,194.699997,177.55336,BMA,10,545600,16.379999,16.379999,118.86447428965043
2020-05-07,BMA.BA,601336,214.600006,195.700836,BMA,10,1254900,17.969999,17.969999,119.42126763613065
2020-05-08,BMA.BA,297874,215.350006,196.384796,BMA,10,598800,18.51,18.51,116.34252079956781
2020-05-11,BMA.BA,338508,234.850006,214.16748,BMA,10,822900,19.540001,19.540001,120.1893520885695
2020-05-12,BMA.BA,520973,244.550003,223.013229,BMA,10,809400,20.040001,20.040001,122.03093353139054
2020-05-13,BMA.BA,408120,230.5,210.200577,BMA,10,1166500,18.27,18.27,126.16310892172962
2020-05-14,BMA.BA,402657,234,213.392334,BMA,10,796000,19.139999,19.139999,122.25705967905223
2020-05-15,BMA.BA,700085,228.149994,208.057526,BMA,10,554000,18.719999,18.719999,121.87500330528862
2020-05-18,BMA.BA,648176,231.100006,210.747742,BMA,10,683400,19.360001,19.360001,119.36983164412028
2020-05-19,BMA.BA,236920,221.699997,202.175552,BMA,10,843700,18.48,18.48,119.96753084415583
2020-05-20,BMA.BA,169413,227.050003,207.054398,BMA,10,573500,19.08,19.08,118.99895335429771
2020-05-21,BMA.BA,535891,239.800003,218.681549,BMA,10,729900,20.51,20.51,116.91857776694296
2020-05-22,BMA.BA,355146,237,216.128143,BMA,10,885600,20.799999,20.799999,113.94231317030352
2020-05-26,BMA.BA,285504,239.199997,218.134384,BMA,10,950600,20.950001,20.950001,114.17660409658214
2020-05-27,BMA.BA,428833,232.899994,212.389206,BMA,10,621100,20.610001,20.610001,113.00338801536203
2020-05-28,BMA.BA,222758,223.100006,203.452271,BMA,10,859600,19.48,19.48,114.52772381930185
2020-05-29,BMA.BA,1194902,197.449997,180.061188,BMA,10,6714300,17.16,17.16,115.06410081585081
2020-06-01,BMA.BA,600905,212.949997,194.196136,BMA,10,1055800,18.24,18.24,116.74890186403509
2020-06-02,BMA.BA,1000300,237.449997,216.538498,BMA,10,1172000,20.48,20.48,115.94238134765624
2020-06-03,BMA.BA,890875,253.649994,231.311813,BMA,10,941800,21.959999,21.959999,115.50546700844566
